,/lpc/nct6796dr/control/0,/lpc/nct6796dr/control/1,/lpc/nct6796dr/control/2,/lpc/nct6796dr/control/3,/lpc/nct6796dr/control/4,/lpc/nct6796dr/control/5,/lpc/nct6796dr/control/6,/lpc/nct6796dr/voltage/0,/lpc/nct6796dr/voltage/1,/lpc/nct6796dr/voltage/2,/lpc/nct6796dr/voltage/3,/lpc/nct6796dr/voltage/4,/lpc/nct6796dr/voltage/5,/lpc/nct6796dr/voltage/6,/lpc/nct6796dr/voltage/7,/lpc/nct6796dr/voltage/9,/lpc/nct6796dr/voltage/10,/lpc/nct6796dr/voltage/11,/lpc/nct6796dr/voltage/12,/lpc/nct6796dr/voltage/13,/lpc/nct6796dr/voltage/14,/lpc/nct6796dr/temperature/0,/lpc/nct6796dr/temperature/1,/lpc/nct6796dr/temperature/2,/lpc/nct6796dr/temperature/3,/lpc/nct6796dr/temperature/4,/lpc/nct6796dr/temperature/5,/lpc/nct6796dr/temperature/6,/lpc/nct6796dr/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/temperature/7,/intelcpu/0/temperature/8,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/clock/7,/intelcpu/0/clock/8,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","Fan Control #7","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VTT","Voltage #11","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #2","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
10/10/2022 20:38:32,71.76471,43.52941,60,60,30.19608,30.19608,60,1.192,1.672,3.47200012,3.37600017,0.992000043,1.064,1.33600008,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,47,31,28,8.5,23,28,-12,1443.85022,23.01587,7.0192337,3.125,0,0,3.076923,0,0,4.529631,50,36,42,36,36,47,36,35,50,4606.34033,4606.34033,4606.34033,4606.34033,4606.34033,4606.34033,4606.34033,4606.34033,36.37957,35.2297859,0.456480354,1.28949869,100.137833,19.2124176,6.073578,25.539196,36,9.162186
10/10/2022 20:38:37,68.62745,40.39216,60,60,30.19608,30.19608,60,1.2,1.672,3.47200012,3.37600017,0.992000043,1.064,1.35200012,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,44,31,28,8,23,28,-12,1473.79907,14.0625,0.793647766,0,0,1.5504837,0,0,1.5625,2.24614143,48,36,37,35,36,36,35,35,48,4706.47949,4606.342,4606.342,4606.342,4606.342,4606.342,4606.342,4606.342,23.7776432,23.1410656,0.005493596,0.891321838,100.137863,18.0975266,5.72113037,25.8916435,36,9.162186
10/10/2022 20:38:42,74.1176453,46.6666679,60,60,30.19608,30.19608,60,1.176,1.672,3.47200012,3.37600017,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.68000007,44,31,28,8.5,23,28,-12,1807.22888,1.53846145,7.8125,0.78125,2.36855149,0,6.983173,4.6875,2.34375,3.31439972,37,37,38,36,37,37,37,37,38,4005.51343,4305.92725,4606.34033,801.1027,4606.34033,4606.34033,4606.34033,4606.34033,24.7493019,23.42558,0.5410266,1.294937,100.13784,20.0069275,6.324745,25.2880287,36,9.162186
10/10/2022 20:38:47,72.54902,44.705883,60,60,30.19608,30.19608,60,1.20800006,1.672,3.47200012,3.37600017,0.992000043,1.064,1.3440001,3.47200012,0.528,0.528,0.480000019,0.904000044,1.28000009,1.68000007,40.5,32,28,8.5,23,28,-13,1437.69971,2.28438377,9.090912,1.51515007,0,0.757575035,12.121212,6.818181,3.03030014,4.45221663,46,37,39,45,38,41,37,43,45,4606.339,4606.339,4606.339,4606.339,4606.339,4606.339,4606.339,4606.339,30.7927361,29.3522453,0.5858634,1.44206691,100.1378,22.0054855,6.956543,24.65623,36,9.162186
10/10/2022 20:38:52,72.94118,45.09804,60,60,30.19608,30.19608,60,1.2,1.672,3.47200012,3.37600017,0.992000043,1.064,1.3440001,3.47200012,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,47,32,28,8.5,23,28,-12,1577.10278,0.78125,20.0600986,1.5625,3.125,0,3.90625,1.5625,13.8461533,5.605471,40,50,39,39,39,40,38,37,50,4606.34033,4606.34033,4606.34033,4606.34033,4606.34033,4606.34033,4005.51343,4606.34033,34.45921,33.28419,0.3947987,1.33835161,100.137833,26.3124084,8.318081,23.294693,36,9.162186
10/10/2022 20:38:57,70.19608,42.3529434,60,60,30.19608,30.19608,60,0.816000044,1.672,3.47200012,3.37600017,0.992000043,1.064,1.35200012,3.47200012,0.528,0.528,0.480000019,0.904000044,1.28000009,1.68000007,40,32,28,8,23,28,-13,1706.70044,0.7692337,2.30768919,0,0,0,0,4.6875,0.78125,1.0682106,38,37,39,37,40,37,48,47,48,4706.479,4606.341,4706.479,4606.341,4606.341,4606.341,4606.341,4606.341,21.78176,21.1593685,0.00182588608,0.788488269,100.137848,27.1387253,8.579304,23.03347,36,9.162186
10/10/2022 20:39:02,83.13725,56.078434,60,60,30.19608,30.19608,60,1.20800006,1.672,3.47200012,3.37600017,0.992000043,1.064,1.35200012,3.47200012,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,54.5,32,28,8,23,28,-12,1670.79211,4.639423,25.78125,22.65625,0.78125,0.78125,22.65625,2.30768919,3.125,10.3410482,41,38,56,39,40,39,40,38,56,4706.47754,4706.47754,4606.34,4606.34,4606.34,4606.34,4606.34,4606.34,40.2642632,39.6635742,0.00127546268,1.022717,100.137825,28.3962555,8.976845,22.63593,35,9.16217
10/10/2022 20:39:07,77.64706,50.5882378,60,60,30.19608,30.19608,60,1.192,1.672,3.47200012,3.37600017,0.992000043,1.064,1.33600008,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.68000007,50,33,28,8.5,23,28,-13,1670.79211,3.73134613,0.7352948,2.974105,0,3.676474,6.67251968,15.507019,2.20588446,4.437834,40,45,42,44,43,43,46,41,46,4606.3374,4706.47559,4606.3374,4105.649,3504.822,2303.1687,4606.3374,4606.3374,45.24301,34.13687,9.83142,2.4713552,100.137772,28.1331635,8.893673,22.7191,35,9.16217
10/10/2022 20:39:12,78.82353,51.7647057,60,60,30.19608,30.19608,60,1.21600008,1.672,3.47200012,3.37600017,0.992000043,1.064,1.33600008,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,50.5,33,28,9,22,28,-12,1800,1.5625,4.6875,5.4567337,6.25,0.78125,4.6875,2.3317337,4.6875,3.80558968,46,44,46,54,45,51,45,45,53,4606.34033,4606.34033,4606.34033,4606.34033,4606.34033,4606.34033,4606.34033,4606.34033,62.3953552,48.13059,12.6185141,3.30640578,100.137833,29.422081,9.301136,22.3116379,35,9.16217
10/10/2022 20:39:17,77.64706,50.5882378,60,60,30.19608,30.19608,60,1.20800006,1.672,3.47200012,3.37600017,0.992000043,1.064,1.33600008,3.47200012,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,46.5,34,28,9,23,28,-12,1824.32434,0.7692337,3.8461566,3.8461566,0,0,0.7692337,0,0,1.15385056,43,43,46,44,43,44,44,44,46,4606.33936,4606.33936,4606.33936,4606.33936,4606.33936,4606.33936,4606.33936,4606.33936,42.9489136,29.176239,12.267024,2.89924741,100.13781,32.318428,10.2167511,21.3960228,35,9.16217
10/10/2022 20:39:22,78.82353,51.7647057,60,60,30.19608,30.19608,60,0.928000033,1.672,3.456,3.37600017,0.992000043,1.064,1.33600008,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,47.5,34,28,9,23,28,-12,1821.8623,3.78787518,5.384612,1.51515007,3.81119251,2.29603648,4.592073,0.7692337,1.52680874,2.960372,44,43,43,43,43,44,45,43,46,4606.34131,4606.34131,4606.34131,801.102844,801.102844,801.102844,4606.34131,4606.34131,45.1733,31.41269,12.2527485,2.91389561,100.137856,33.44442,10.5727081,21.0400658,35,9.16217
10/10/2022 20:39:27,78.43137,51.37255,60,60,30.19608,30.19608,60,1.192,1.672,3.456,3.37600017,0.992000043,1.064,1.33600008,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,50,35,28,9,23,28,-12,1829.26831,4.6875,2.3317337,3.8461566,1.5625,1.5625,6.25,1.5504837,2.34375,3.01682949,45,43,44,44,44,45,44,51,51,4606.342,4606.342,4606.342,4606.342,4606.342,4606.342,801.102966,4606.342,44.9448967,31.1378,12.3263254,2.951807,100.137871,35.1416473,11.1092491,20.5035248,35,9.16217
10/10/2022 20:39:32,78.82353,51.7647057,60,60,30.19608,30.19608,60,0.984,1.672,3.47200012,3.37600017,0.992000043,1.064,1.33600008,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.68000007,47.5,35,28,9,23,28,-12,1829.26831,2.34375,2.34375,0,0.78125,0.78125,1.5625,0,0,0.9765625,45,52,44,45,46,45,44,45,52,4606.342,4606.342,4606.342,4606.342,4606.342,4606.342,4606.342,4606.342,42.70943,28.8965645,12.2959309,2.90937948,100.137871,36.6632652,11.5902748,20.0225,35,9.162437
10/10/2022 20:39:37,84.70589,58.4313736,60,60,30.19608,30.19608,60,1.23200011,1.672,3.47200012,3.37600017,0.992000043,1.064,1.32800007,3.47200012,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,55,35,28,9,23,28,-12,1839.237,3.08893919,13.1730795,7.69230747,6.983173,5.384612,5.384612,6.92307949,22.3076935,8.867192,48,47,48,46,47,48,47,46,49,4606.33936,4606.33936,4606.33936,4606.33936,4606.33936,4606.33936,4606.33936,4606.33936,74.60626,60.38187,12.5333624,3.40206027,100.137817,40.3630371,12.7598763,18.8528976,35,9.162437
10/10/2022 20:39:42,85.8823547,59.6078453,60,60,30.19608,30.19608,60,1.184,1.672,3.47200012,3.37600017,0.992000043,1.064,1.33600008,3.47200012,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,54.5,36,28,9,23,28,-13,1956.52173,16.5922642,11.0739117,2.34375,4.66346169,1.5625,3.125,3.125,3.94345522,5.8036685,54,46,46,46,46,45,45,45,54,4606.34033,4606.34033,4606.34033,4606.34033,4606.34033,4606.34033,4606.34033,4606.34033,58.5875664,41.6514626,15.8126593,2.08764482,100.137833,43.8584,13.8648567,17.7479172,35,9.162437
10/10/2022 20:39:47,86.66667,60.7843132,60,60,30.19608,30.19608,60,1.21600008,1.672,3.47200012,3.37600017,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,56.5,36,28,8,23,28,-12,2030.0752,34.0537262,22.65625,0.7692337,0,3.076923,1.5625,0,0.7692337,7.86098242,47,56,57,46,46,57,45,44,57,4606.34033,4706.478,4606.34033,4606.34033,4606.34033,4606.34033,4606.34033,4606.34033,44.8508568,41.46529,2.61998177,1.29544663,100.137833,45.8098526,14.4817657,17.1310081,35,9.162437
10/10/2022 20:39:52,81.9607849,55.294117,60,60,30.19608,30.19608,60,1.2,1.672,3.47200012,3.37600017,0.992000043,1.064,1.33600008,3.47200012,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,51.5,36,28,8.5,23,28,-12,2005.94348,4.557109,4.60373163,0.7692337,0.757575035,0,3.06526423,2.30768919,1.52680874,2.19843388,45,43,45,47,44,45,45,43,49,801.1031,4606.343,3705.10181,4606.343,4606.343,4606.343,4305.929,3404.688,43.0543556,25.2208061,16.7169037,2.229382,100.137886,46.9871559,14.8539429,16.758831,35,9.162437
10/10/2022 20:39:57,80.78432,54.11765,60,60,30.19608,30.19608,60,0.816000044,1.672,3.47200012,3.37600017,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.68000007,49.5,36,28,9,23,28,-13,1890.75635,0,3.125,1.5625,1.53846145,0,0,0,2.34375,1.07121468,49,42,44,44,43,43,44,43,50,4606.341,4606.341,3705.1,2803.85938,4606.341,4606.341,4606.341,4606.341,38.0017548,20.2689056,16.6478653,2.19179416,100.13784,46.98274,14.8525467,16.7602272,35,9.162437
10/10/2022 20:40:02,80.78432,54.11765,60,60,30.19608,30.19608,60,1.2,1.672,3.47200012,3.37600017,0.992000043,1.064,1.33600008,3.47200012,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,50,37,28,8.5,22,28,-12,1896.06738,0,1.53846145,0.757575035,1.53846145,0.7692337,0.7692337,2.30768919,0.7692337,1.056236,45,43,53,45,44,44,45,43,53,4606.34326,4606.34326,4606.34326,3705.102,2803.861,2803.861,4005.51563,4406.06738,39.1316147,21.3360519,16.693861,2.18807459,100.137894,46.7890778,14.7913246,16.82145,36,9.162491
10/10/2022 20:40:07,80.78432,54.11765,60,60,30.19608,30.19608,60,1.2,1.672,3.47200012,3.37600017,0.992000043,1.064,1.33600008,3.47200012,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,51.5,37,28,9,23,28,-12,1898.73413,1.5625,9.375,3.90625,2.31971145,2.3317337,0,2.3317337,0.793647766,2.82757282,50,47,47,46,46,46,47,45,50,4606.341,4606.341,4606.341,4606.341,4606.341,4606.341,4305.92725,3404.68677,56.05828,38.07708,16.7484131,2.41090512,100.137848,46.75198,14.7795982,16.8331757,36,9.162491
10/10/2022 20:40:12,80.78432,54.11765,60,60,30.19608,30.19608,60,0.992000043,1.672,3.456,3.37600017,0.992000043,1.064,1.33600008,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,49.5,37,28,9,23,28,-12,1901.40845,0,7.69230747,1.51515007,2.30768919,0.78125,0,1.53846145,0.7692337,1.82551146,44,42,43,43,44,43,44,43,49,4606.34,4606.34,4606.34,4606.34,801.1026,801.1026,4606.34,4606.34,38.94148,21.1504822,16.6759129,2.22111177,100.137825,46.782402,14.7892151,16.8235588,36,9.162491
10/10/2022 20:40:17,80.78432,54.11765,60,60,30.19608,30.19608,60,0.944000065,1.672,3.456,3.37600017,0.992000043,1.064,1.33600008,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,49.5,37,28,8.5,23,28,-12,1896.06738,0.78125,1.58730149,0,1.5625,1.5625,0.78125,0,2.34375,1.07731819,45,43,44,44,51,44,44,45,52,4606.34033,4005.51343,801.102661,801.102661,801.102661,4606.34033,4606.34033,4606.34033,39.0458145,21.2838745,16.66513,2.18202448,100.137833,46.77613,14.7872314,16.8255424,36,9.162491
10/10/2022 20:40:22,80.78432,54.11765,60,60,30.19608,30.19608,60,0.816000044,1.672,3.47200012,3.37600017,0.992000043,1.064,1.33600008,3.47200012,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,49.5,37,28,8.5,23,28,-12,1898.73413,0.793647766,2.34375,4.7747016,1.58730149,0.78125,0.78125,0,0,1.38273835,43,42,44,43,44,43,44,43,49,801.102539,801.102539,4606.33936,4606.33936,4606.33936,4606.33936,4305.92627,3404.68579,38.56291,20.8241043,16.62173,2.209096,100.137817,46.7769,14.7874756,16.8252983,36,9.162491
