,/lpc/nct6796dr/control/0,/lpc/nct6796dr/control/1,/lpc/nct6796dr/control/2,/lpc/nct6796dr/control/3,/lpc/nct6796dr/control/4,/lpc/nct6796dr/control/5,/lpc/nct6796dr/control/6,/lpc/nct6796dr/voltage/0,/lpc/nct6796dr/voltage/1,/lpc/nct6796dr/voltage/2,/lpc/nct6796dr/voltage/3,/lpc/nct6796dr/voltage/4,/lpc/nct6796dr/voltage/5,/lpc/nct6796dr/voltage/6,/lpc/nct6796dr/voltage/7,/lpc/nct6796dr/voltage/9,/lpc/nct6796dr/voltage/10,/lpc/nct6796dr/voltage/11,/lpc/nct6796dr/voltage/12,/lpc/nct6796dr/voltage/13,/lpc/nct6796dr/voltage/14,/lpc/nct6796dr/temperature/0,/lpc/nct6796dr/temperature/1,/lpc/nct6796dr/temperature/2,/lpc/nct6796dr/temperature/3,/lpc/nct6796dr/temperature/4,/lpc/nct6796dr/temperature/5,/lpc/nct6796dr/temperature/6,/lpc/nct6796dr/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/temperature/7,/intelcpu/0/temperature/8,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/clock/7,/intelcpu/0/clock/8,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/temperature/9,/atigpu/0/power/0,/atigpu/0/fan/0,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/atigpu/0/load/1,/atigpu/0/control/0,/hdd/0/temperature/0,/hdd/0/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","Fan Control #7","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VTT","Voltage #11","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #2","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Hot Spot","GPU Total","GPU Fan","GPU Core","GPU Memory","GPU Core","GPU Core","GPU Memory","GPU Fan","Temperature","Used Space"
10/16/2022 13:09:43,71.76471,43.92157,60,60,30.19608,30.19608,60,0.664000034,1.672,3.47200012,3.36000013,0.992000043,1.064,1.35200012,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,39,34,28,8.5,23,28,-12,1564.31055,3.076923,0.78125,15.3846149,1.51515007,0.7692337,0,0,0,2.69089937,40,41,39,39,38,39,40,37,41,4606.344,4606.344,3705.10278,2503.448,1602.20667,801.103333,801.103333,801.103333,14.0369949,13.0971441,0,0.744365931,100.137917,37.4503746,11.9356537,19.9349327,36,37,2,0,0,0,0.006,0,0,0,30,10.9845886
10/16/2022 13:09:48,71.37255,43.52941,60,60,30.19608,30.19608,60,1.2,1.672,3.47200012,3.36000013,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.68000007,45.5,34,28,8,23,28,-12,1501.66858,0,0,0.78125,0,0,21.09375,0,0.78125,2.83203125,38,37,38,37,38,39,39,37,39,801.103149,1602.2063,1602.2063,801.103149,801.103149,801.103149,801.103149,801.103149,20.6791935,19.7452888,0,0.850774765,100.137894,37.455307,11.9372253,19.9333611,36,37,2,0,0,0,0.006,0,0,0,30,10.9845886
10/16/2022 13:09:53,68.62745,40.7843132,60,60,30.19608,30.19608,60,1,1.672,3.47200012,3.36000013,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.68000007,38.5,34,28,8,23,28,-12,1537.58545,1.5625,1.5625,0,0,0,0,0,1.5625,0.5859375,37,37,38,36,37,38,38,37,38,801.1026,801.1026,801.1026,801.1026,801.1026,801.1026,801.1026,801.1026,11.6772957,10.7329168,0,0.6940128,100.137825,37.33304,11.8982582,19.9723282,36,37,2,0,0,0,0.006,0,0,0,30,10.9845886
10/16/2022 13:09:58,67.84314,39.6078453,60,60,30.19608,30.19608,60,0.91200006,1.672,3.456,3.36000013,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,40.5,34,28,8,23,28,-12,1496.67407,0,7.69230747,3.8461566,0,0.7692337,0,0,0,1.53846145,36,35,36,36,37,37,38,36,38,801.10376,801.10376,801.10376,801.10376,801.10376,1201.65564,2403.31128,4706.48438,10.4913588,9.546868,0,0.707126141,100.13797,37.30772,11.89019,19.9803963,36,37,1,0,0,0,0.006,0,0,0,30,10.9845886
10/16/2022 13:10:03,67.84314,39.6078453,60,60,30.19608,30.19608,60,0.664000034,1.672,3.456,3.36000013,0.992000043,1.064,1.35200012,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,38,34,28,8,23,28,-12,1500,0.78125,1.57489777,2.34375,0,0,0,0,0.78125,0.6851435,36,36,36,35,36,36,37,36,37,4606.346,4606.346,4606.346,4606.346,4606.346,4606.346,4706.48438,4606.346,12.4582386,11.5510635,0,0.6987751,100.137962,37.11122,11.8275642,20.0430222,37,37,1,0,0,2,0.006,0,0,0,30,10.9845886
10/16/2022 13:10:08,80,53.3333359,60,60,30.19608,30.19608,60,1.23200011,1.672,3.456,3.36000013,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,48,34,28,8.5,23,28,-12,1934.09741,26.5625,4.6875,0,3.174603,1.57489777,0.78125,0,0.78125,4.6952486,45,40,42,44,45,47,42,45,47,4606.34375,4606.34375,4606.34375,4606.34375,4606.34375,4606.34375,4606.34375,4606.34375,32.34551,31.3911724,0,1.05752325,100.137909,37.32193,11.8947182,19.9758682,36,37,1,0,0,2,0.006,0,0,0,30,10.9845886
10/16/2022 13:10:13,76.86275,49.4117661,60,60,30.19608,30.19608,60,1.24,1.672,3.456,3.36000013,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.27200007,1.672,46,34,28,8.5,22,28,-12,1691.72937,5.46875,6.349206,0,2.34375,7.03125,0,1.5504837,0,2.842927,40,39,39,38,39,40,40,39,40,4606.344,801.103333,801.103333,4606.344,4606.344,4706.482,4606.344,2002.7583,30.2277679,29.2663345,0,0.953688264,100.137917,36.72672,11.7050209,20.1655655,36,37,2,0,0,0,0.006,0,0,0,31,10.9844894
10/16/2022 13:10:18,69.8039246,41.9607849,60,60,30.19608,30.19608,60,0.68,1.672,3.456,3.36000013,0.992000043,1.064,1.35200012,3.47200012,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,39.5,35,28,8.5,23,28,-12,1549.94263,0,0,0,3.90625,0.78125,0.78125,0,0.78125,0.78125,37,36,37,36,37,38,38,37,38,801.1033,801.1033,801.1033,4606.34375,4506.206,3604.96484,2403.30981,1502.06873,11.0316334,10.0938873,0,0.69975,100.137909,36.66595,11.6856537,20.1849327,37,37,1,0,0,0,0.006,0,0,0,31,10.9844894
10/16/2022 13:10:23,70.98039,43.1372566,60,60,30.19608,30.19608,60,0.664000034,1.672,3.456,3.36000013,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,38.5,35,28,8,23,28,-12,1527.14929,2.30768919,0.7692337,0,0,0,0,0.7692337,0,0.480771065,37,36,36,36,36,37,37,36,37,801.1033,801.1033,801.1033,4506.206,3604.9646,2703.72339,1802.4823,901.24115,13.2340212,12.2918644,0,0.7304535,100.137909,36.67645,11.6889992,20.1815872,36,37,1,0,0,0,0.006,0,0,0,31,10.9844894
