,/lpc/nct6796dr/control/0,/lpc/nct6796dr/control/1,/lpc/nct6796dr/control/2,/lpc/nct6796dr/control/3,/lpc/nct6796dr/control/4,/lpc/nct6796dr/control/5,/lpc/nct6796dr/control/6,/lpc/nct6796dr/voltage/0,/lpc/nct6796dr/voltage/1,/lpc/nct6796dr/voltage/2,/lpc/nct6796dr/voltage/3,/lpc/nct6796dr/voltage/4,/lpc/nct6796dr/voltage/5,/lpc/nct6796dr/voltage/6,/lpc/nct6796dr/voltage/7,/lpc/nct6796dr/voltage/9,/lpc/nct6796dr/voltage/10,/lpc/nct6796dr/voltage/11,/lpc/nct6796dr/voltage/12,/lpc/nct6796dr/voltage/13,/lpc/nct6796dr/voltage/14,/lpc/nct6796dr/temperature/0,/lpc/nct6796dr/temperature/1,/lpc/nct6796dr/temperature/2,/lpc/nct6796dr/temperature/3,/lpc/nct6796dr/temperature/4,/lpc/nct6796dr/temperature/5,/lpc/nct6796dr/temperature/6,/lpc/nct6796dr/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/temperature/7,/intelcpu/0/temperature/8,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/clock/7,/intelcpu/0/clock/8,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/temperature/9,/atigpu/0/power/0,/atigpu/0/fan/0,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/atigpu/0/load/1,/atigpu/0/control/0,/hdd/0/temperature/0,/hdd/0/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","Fan Control #7","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VTT","Voltage #11","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #2","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Hot Spot","GPU Total","GPU Fan","GPU Core","GPU Memory","GPU Core","GPU Core","GPU Memory","GPU Fan","Temperature","Used Space"
10/16/2022 20:53:50,74.90196,47.45098,63.92157,63.92157,30.19608,30.19608,63.92157,1.056,1.672,3.456,3.36000013,0.992000043,1.064,1.35200012,3.456,0.528,0.528,0.480000019,0.904000044,1.27200007,1.672,45,41,34,8.5,23,28,-12,1764.70593,0.78125,1.5625,1.5625,0,0.78125,0,0,0,0.5859375,43,43,44,43,43,43,44,43,44,4606.34326,4606.34326,4606.34326,4606.34326,4606.34326,4606.34326,4606.34326,4606.34326,15.6854877,14.7556858,0,0.760268748,100.137894,38.37352,12.229866,19.64072,48,48,2,0,12,12,0.70600003,0,0,0,42,11.0208359
10/16/2022 20:53:55,83.13725,55.6862755,63.92157,63.92157,30.19608,30.19608,63.92157,1.184,1.672,3.456,3.36000013,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.27200007,1.672,61.5,41,34,8,23,28,-12,1735.21851,0,1.53846145,0,0.7692337,30.76923,19.23077,0,0,6.53846264,48,47,49,47,47,63,51,47,63,4606.343,4606.343,4606.343,4606.343,4606.343,4606.343,4606.343,4606.343,38.91451,38.04114,0,0.9665093,100.137886,38.3706474,12.2289505,19.6416359,47,48,2,0,5,10,0.718000054,0,0,0,42,11.0208359
10/16/2022 20:54:00,78.82353,51.37255,63.92157,63.92157,30.19608,30.19608,63.92157,0.672000051,1.672,3.456,3.37600017,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.27200007,1.672,46.5,41,34,8,23,28,-12,1735.21851,3.90625,2.34375,1.5625,0,0.7692337,0,0,4.6875,1.65865421,47,46,47,45,46,46,46,50,50,4606.34863,4606.34863,4606.34863,4606.34863,4606.34863,4606.34863,4606.34863,4305.93457,35.2481956,34.207222,0,1.15114725,100.138016,38.29427,12.2046089,19.6659775,47,48,2,0,16,18,0.70600003,2,0,0,42,11.0208359
10/16/2022 20:54:05,79.60784,52.9411774,63.92157,63.92157,30.19608,30.19608,63.92157,1.2,1.672,3.456,3.36000013,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.27200007,1.672,50.5,41,34,8.5,23,28,-12,1715.37488,7.69230747,10.0841341,3.8942337,0,0,0,0.7692337,0.7692337,2.90114284,48,52,49,47,47,47,48,47,52,4606.34326,4606.34326,4606.34326,801.1032,801.1032,801.1032,801.1032,801.1032,26.0757542,25.1293068,0,0.9122363,100.1379,38.27499,12.1984634,19.672123,47,48,2,0,0,10,0.006,0,0,0,42,11.0208359
10/16/2022 20:54:10,76.86275,49.80392,63.92157,63.92157,30.19608,30.19608,63.92157,1.24,1.672,3.456,3.36000013,0.992000043,1.064,1.35200012,3.456,0.528,0.528,0.480000019,0.904000044,1.27200007,1.672,46.5,41,34,8,23,28,-12,1769.33154,0,3.90625,2.34375,0,0,0.793647766,0,0.78125,0.9781122,45,44,46,44,45,44,45,44,46,4606.349,801.1042,801.1042,801.1042,801.1042,801.1042,801.1042,801.1042,17.7390556,16.803772,0,0.7926151,100.138023,38.2181358,12.1803436,19.6902428,47,48,2,0,4,8,0.70600003,0,0,0,42,11.0208359
10/16/2022 20:54:15,81.56863,54.9019623,63.92157,63.92157,30.19608,30.19608,63.92157,0.984,1.672,3.456,3.37600017,0.992000043,1.056,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.27200007,1.672,48,41,34,8.5,22,28,-12,1769.33154,6.153846,1.53846145,8.4615345,3.076923,0.7692337,0.757575035,0,1.5625,2.79001,47,45,47,46,46,46,46,45,47,4606.34326,4606.34326,801.1032,4606.34326,4606.34326,4606.34326,4005.51587,4606.34326,31.1325855,30.0907288,0,1.03785,100.1379,38.2752876,12.1985588,19.6720276,47,47,2,0,6,12,0.70600003,0,0,0,42,11.0208359
10/16/2022 20:54:20,81.56863,55.6862755,63.92157,63.92157,30.19608,30.19608,63.92157,0.656,1.672,3.456,3.36000013,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.27200007,1.672,47.5,41,34,8,23,28,-12,1979.47217,10.76923,0.7692337,1.53846145,0,0,0,0,0,1.63461566,44,44,44,43,44,44,44,43,45,4606.33936,4606.33936,3705.099,2803.859,1902.61841,1001.37811,801.1025,4606.33936,19.0874615,18.1177616,0,0.8366403,100.13781,38.4399757,12.2510452,19.6195412,47,47,2,0,0,12,0.006,0,0,0,42,11.027298
10/16/2022 20:54:25,74.90196,47.45098,63.92157,63.92157,30.19608,30.19608,63.92157,0.664000034,1.672,3.456,3.36000013,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.27200007,1.672,44,41,34,8.5,23,28,-12,1721.93872,0.7692337,0.7692337,0.7692337,3.8461566,0,0,0,0,0.7692337,42,42,43,42,42,42,43,43,43,801.1033,801.1033,801.1033,801.1033,801.1033,801.1033,801.1033,801.1033,11.5060215,10.5550556,0,0.739041448,100.137909,38.22583,12.1827965,19.68779,47,47,2,0,0,8,0.006,0,0,0,42,11.027298
10/16/2022 20:54:31,74.90196,47.45098,63.92157,63.92157,30.19608,30.19608,63.92157,0.648,1.672,3.456,3.36000013,0.992000043,1.056,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.27200007,1.672,43.5,41,34,8,23,28,-12,1702.396,2.6378274,1.84696913,0.5284071,0.661027431,1.05332732,0.5277097,0.6599784,0.5284071,1.05544329,45,50,53,46,45,46,57,43,57,4606.34375,4606.34375,4606.34375,4606.34375,4606.34375,4606.34375,4606.34375,4606.34375,13.590951,12.642211,0,0.70912987,100.137909,38.1963234,12.1733932,19.6971931,47,47,2,0,8,60,0.70600003,0,0,0,42,11.027298
