,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/temperature/7,/intelcpu/0/temperature/8,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/clock/7,/intelcpu/0/clock/8,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0,/hdd/2/load/0,/hdd/3/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","Memory","Used Memory","Available Memory","Temperature","Used Space","Used Space","Used Space","Used Space"
10/21/2022 00:13:07,4.6875,0.7692337,0.793647766,0,2.30768919,0,0,1.58730149,1.26817226,,,,,,,,,,,,,,,,,,6.76765442,2.15689087,29.7136955,42,12.486351,0.000381469727,35.4988251,67.08646
10/21/2022 00:13:12,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.7673645,2.15679932,29.7137871,42,12.486351,0.000381469727,35.4988251,67.08646
10/21/2022 00:13:17,0.78125,0,0,0,0,0,0,0,0.09765625,,,,,,,,,,,,,,,,,,6.76637268,2.1564827,29.7141037,42,12.486351,0.000381469727,35.4988251,67.08646
10/21/2022 00:13:22,1.53846145,0.7692337,0,0,0,0.78125,0,0,0.3861189,,,,,,,,,,,,,,,,,,6.76654053,2.156536,29.71405,42,12.486351,0.000381469727,35.4988251,67.08646
10/21/2022 00:13:27,0.78125,0.78125,0.793647766,6.25,0.7692337,0.78125,2.34375,25.78125,4.785204,,,,,,,,,,,,,,,,,,6.923561,2.206581,29.6640053,42,12.486351,0.000381469727,35.4988251,67.08646
10/21/2022 00:13:32,0.78125,0,0,0,0,0,0.78125,0,0.1953125,,,,,,,,,,,,,,,,,,6.94172668,2.212368,29.6582184,42,12.486351,0.000381469727,35.4988251,67.08646
10/21/2022 00:13:37,4.6875,0,0,1.58730149,0,3.174603,8.59375,1.58730149,2.453804,,,,,,,,,,,,,,,,,,6.94512939,2.21345139,29.657135,42,12.486351,0.000381469727,35.4988251,67.08646
10/21/2022 00:13:42,0.78125,0.793647766,0,0,0,0,0,0,0.196862221,,,,,,,,,,,,,,,,,,6.950386,2.21512985,29.6554565,42,12.486351,0.000381469727,35.4988251,67.08646
10/21/2022 00:13:47,0.78125,4.6875,3.90625,0.7692337,1.5625,0,0,0,1.46334171,,,,,,,,,,,,,,,,,,6.917366,2.204605,29.6659813,42,12.486351,0.000381469727,35.4988251,67.08646
10/21/2022 00:13:52,0.7692337,0,3.076923,0,0,0,0,0,0.480771065,,,,,,,,,,,,,,,,,,6.546135,2.08629227,29.7842941,42,12.486351,0.000381469727,35.4988251,67.08646
10/21/2022 00:13:57,10.0000019,42.3076935,10.0000019,7.69230747,7.8004837,8.4615345,7.69230747,2.30768919,12.0327473,,,,,,,,,,,,,,,,,,6.80098724,2.1675148,29.7030716,42,12.486351,0.000381469727,35.4988251,67.08646
10/21/2022 00:14:03,3.8461566,0.7692337,4.615384,0.7692337,0,12.3076916,0,2.30768919,3.07692885,,,,,,,,,,,,,,,,,,7.01526642,2.23580551,29.63478,42,12.486351,0.000381469727,35.4988251,67.08646
10/21/2022 00:14:08,1.53846145,2.30768919,0,1.53846145,0,3.8461566,0.7692337,0.7692337,1.346159,,,,,,,,,,,,,,,,,,7.11225128,2.266716,29.60387,42,12.4868164,0.000381469727,35.4988251,67.08646
10/21/2022 00:14:13,0.7692337,0,0,0,0.7692337,0,0,1.53846145,0.384616852,,,,,,,,,,,,,,,,,,7.1625824,2.28275681,29.58783,42,12.4868164,0.000381469727,35.4988251,67.08646
10/21/2022 00:14:18,0.7692337,0,0,0.7692337,0,0,0,0,0.192308426,,,,,,,,,,,,,,,,,,7.177498,2.28751,29.5830765,42,12.4868164,0.000381469727,35.4988251,67.08646
10/21/2022 00:14:23,0.78125,0,0,0,0,0,0,0,0.09765625,,,,,,,,,,,,,,,,,,7.16252136,2.28273773,29.5878487,42,12.4868164,0.000381469727,35.4988251,67.08646
10/21/2022 00:14:28,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,7.14800262,2.2781105,29.5924759,42,12.4868164,0.000381469727,35.4988251,67.08646
