,/lpc/nct6796dr/control/0,/lpc/nct6796dr/control/1,/lpc/nct6796dr/control/2,/lpc/nct6796dr/control/3,/lpc/nct6796dr/control/4,/lpc/nct6796dr/control/5,/lpc/nct6796dr/control/6,/lpc/nct6796dr/voltage/0,/lpc/nct6796dr/voltage/1,/lpc/nct6796dr/voltage/2,/lpc/nct6796dr/voltage/3,/lpc/nct6796dr/voltage/4,/lpc/nct6796dr/voltage/5,/lpc/nct6796dr/voltage/6,/lpc/nct6796dr/voltage/7,/lpc/nct6796dr/voltage/9,/lpc/nct6796dr/voltage/10,/lpc/nct6796dr/voltage/11,/lpc/nct6796dr/voltage/12,/lpc/nct6796dr/voltage/13,/lpc/nct6796dr/voltage/14,/lpc/nct6796dr/temperature/0,/lpc/nct6796dr/temperature/1,/lpc/nct6796dr/temperature/2,/lpc/nct6796dr/temperature/3,/lpc/nct6796dr/temperature/4,/lpc/nct6796dr/temperature/5,/lpc/nct6796dr/temperature/6,/lpc/nct6796dr/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/temperature/7,/intelcpu/0/temperature/8,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/clock/7,/intelcpu/0/clock/8,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/temperature/9,/atigpu/0/power/0,/atigpu/0/fan/0,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/atigpu/0/load/1,/atigpu/0/control/0,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","Fan Control #7","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VTT","Voltage #11","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #2","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Hot Spot","GPU Total","GPU Fan","GPU Core","GPU Memory","GPU Core","GPU Core","GPU Memory","GPU Fan","Temperature","Used Space","Used Space"
10/23/2022 14:44:54,86.66667,60.7843132,64.70589,64.70589,30.19608,30.19608,64.70589,1.072,1.672,3.456,3.36000013,0.992000043,1.064,1.33600008,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,54,45,35,8.5,23,28,-12,1991.15039,2.35614777,4.6875,0.78125,0,0,0,0,0,0.9781122,51,50,50,50,50,51,51,50,51,4606.33936,4606.33936,4606.33936,4706.477,4606.33936,4606.33936,4606.33936,4606.33936,31.3228741,30.3682327,0,0.915031433,100.137817,53.7011032,17.1148567,14.75573,45,46,2,0,0,18,0.006,0,1,0,42,14.1778336,69.5826645
10/23/2022 14:44:59,88.62745,62.3529434,64.70589,64.70589,30.19608,30.19608,64.70589,1.256,1.672,3.456,3.36000013,0.992000043,1.056,1.35200012,3.456,0.528,0.528,0.480000019,0.904000044,1.27200007,1.672,54.5,45,35,8,23,28,-12,2335.64014,7.8125,3.90625,3.125,0,0,0,0,7.14285374,2.74832845,51,51,51,52,51,51,52,50,52,4606.34,4606.34,4606.34,4606.34,4606.34,4606.34,4606.34,4606.34,35.5905571,34.6054955,0,1.00314677,100.137817,53.8253479,17.1544533,14.7161331,45,46,2,0,0,16,0.006,0,1,0,42,14.1778336,69.5826645
10/23/2022 14:45:04,91.76471,76.07843,64.70589,64.70589,30.19608,30.19608,64.70589,1.248,1.672,3.456,3.36000013,0.992000043,1.064,1.35200012,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,62.5,46,35,8.5,22,28,-12,2542.3728,7.8125,3.08893919,1.5504837,0.78125,2.34375,0,1.5625,0,2.14242935,55,55,55,54,55,55,54,60,60,4606.34,4606.34,4606.34,4606.34,4606.34,4606.34,4606.34,4606.34,42.73528,41.7805672,0,1.10757947,100.137825,53.7581825,17.133049,14.7375374,45,46,2,0,0,16,0.006,0,1,0,42,14.1778336,69.5826645
10/23/2022 14:45:09,85.8823547,59.2156868,64.70589,64.70589,30.19608,30.19608,64.70589,1.0480001,1.672,3.47200012,3.36000013,0.992000043,1.064,1.35200012,3.47200012,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,53,46,35,8,23,28,-12,2086.55322,7.03125,0,0,0,0,0,0,0.78125,0.9765625,51,51,52,52,51,52,52,50,52,4606.34033,4606.34033,4606.34033,4606.34033,4606.34033,4606.34033,4606.34033,4606.34033,26.4857426,25.5442677,0,0.8108368,100.137833,53.7647324,17.1351357,14.7354507,45,46,2,0,0,16,0.006,0,1,0,42,14.1778336,69.5826645
10/23/2022 14:45:14,87.45098,61.56863,64.70589,64.70589,30.19608,30.19608,64.70589,1.20800006,1.672,3.47200012,3.36000013,0.992000043,1.064,1.35200012,3.47200012,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,63,46,35,8,23,28,-12,2246.25635,3.125,4.6875,10.3174572,0,0,0,1.5625,0,2.46155858,55,53,70,55,55,54,54,52,70,4606.33936,4606.33936,4606.33936,4606.33936,4606.33936,4606.33936,4606.33936,4606.33936,38.2138634,37.2515831,0,1.04040849,100.137817,53.8298073,17.1558762,14.71471,45,46,2,0,0,16,0.006,0,1,0,42,14.1778336,69.5826645
10/23/2022 14:45:19,85.4902,60.7843132,64.70589,64.70589,30.19608,30.19608,64.70589,1.024,1.672,3.456,3.36000013,0.992000043,1.064,1.33600008,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,58.5,46,35,8.5,23,28,-12,2311.6438,3.90625,0,0,0,0,0,0,0.78125,0.5859375,53,53,53,53,53,54,54,53,54,4606.34,4606.34,4606.34,4606.34,4606.34,4606.34,4606.34,4606.34,34.533268,33.59388,0,0.908998966,100.137817,54.2746277,17.2976418,14.5729446,45,46,2,0,0,16,0.006,0,1,0,42,14.1778336,69.5826645
10/23/2022 14:45:24,88.62745,62.7451,64.70589,64.70589,30.19608,30.19608,64.70589,1.056,1.672,3.456,3.36000013,0.992000043,1.064,1.35200012,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,55.5,46,35,8,23,28,-12,2057.92676,3.90625,1.5625,0,0.78125,0,3.8942337,0,0.78125,1.36568546,52,52,52,51,52,52,54,51,54,4606.34033,4606.34033,4606.34033,4606.34033,4606.34033,4606.34033,4606.34033,4606.34033,29.92012,28.9694366,0,0.8625701,100.137825,54.05707,17.2283058,14.6422806,46,46,2,0,0,16,0.006,0,1,0,42,14.1760178,69.5826645
10/23/2022 14:45:29,87.84314,61.56863,64.70589,64.70589,30.19608,30.19608,64.70589,1.008,1.672,3.456,3.36000013,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,57.5,46,35,8.5,23,28,-12,2048.55835,7.03125,3.90625,2.34375,0,0,1.5625,2.34375,0,2.1484375,52,51,53,52,52,52,52,50,53,4606.34,4606.34,4606.34,4606.34,4606.34,4606.34,4606.34,4606.34,32.6791458,31.7137222,0,0.948607445,100.137825,54.0860977,17.2375565,14.63303,45,46,2,0,0,16,0.006,0,1,0,42,14.1760178,69.5826645
10/23/2022 14:45:34,85.4902,59.2156868,64.70589,64.70589,30.19608,30.19608,64.70589,0.968000054,1.672,3.47200012,3.36000013,0.992000043,1.064,1.35200012,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,57.5,46,35,8.5,23,28,-12,2008.92859,6.25,0.78125,0,0,1.5625,0,0,0,1.07421875,53,52,53,53,53,56,53,52,58,4606.34033,4606.34033,4606.34033,4606.34033,4606.34033,4606.34033,4606.34033,4606.34033,31.6863918,30.7295265,0,0.9226576,100.137833,54.0855865,17.2373924,14.633194,46,46,2,0,0,16,0.006,0,1,0,42,14.1760178,69.5826645
